,Address,Baths,Beds,Cost,"Sq,Ft",Sq.Ft,Status
274,"8160 Mulholland Ter, Los Angeles, CA", 4 ba ,3 bds ,"$1,575,000",," 2,550 sqft",House For Sale
275,"214 S Van Ness Ave, Los Angeles, CA", 4 ba ,4 bds ,"$3,499,000",," 3,539 sqft",House For Sale
276,"102 S Manhattan Pl, Los Angeles, CA", 2 ba ,2 bds ,"$545,000",, 945 sqft,Condo For Sale
277,"8300 Manitoba St APT 103, Playa Del Rey, CA", 1 ba ,2 bds ,"$579,000",, 820 sqft,Condo For Sale
278,"1227 Granville Ave PH 1, Los Angeles, CA", 3 ba ,3 bds ,"$1,229,000",," 1,956 sqft",Condo For Sale
279,"3659 Lankershim Blvd, Los Angeles, CA", 3 ba ,3 bds ,"$1,588,000",," 3,015 sqft",House For Sale
280,"15420 Deerhorn Rd, Sherman Oaks, CA", 2 ba ,3 bds ,"$1,399,000",," 1,806 sqft",House For Sale
281,"18315 Citronia St, Northridge, CA", 4 ba ,5 bds ,"$712,400",," 2,601 sqft",Foreclosure
282,"11570 Sunshine Ter, Studio City, CA", 1 ba ,3 bds ,"$1,300,000",," 1,760 sqft",Coming Soon
283,"3667 W 63rd St, Los Angeles, CA", 2 ba ,3 bds ,"$595,000",," 1,612 sqft",House For Sale
284,"2709 S Harcourt Ave, Los Angeles, CA", 1 ba ,2 bds ,"$595,000",," 1,252 sqft",House For Sale
285,"1217 Ravenna Ave, Wilmington, CA", 1 ba ,2 bds ,"$330,000",," 1,100 sqft",House For Sale
286,"100 S Doheny Dr APT 1003, Los Angeles, CA", 2 ba ,,"$627,500",, 719 sqft,Condo For Sale
287,"817 N Alfred St APT 104, Los Angeles, CA", 3 ba ,2 bds ,"$935,000",," 1,310 sqft",Condo For Sale
288,"842 N Genesee Ave, Los Angeles, CA", 4 ba ,4 bds ,"$2,000,000",," 2,350 sqft",Apartment For Sale
289,"984 W Sepulveda St, San Pedro, CA", 1 ba ,2 bds ,"$520,000",, 975 sqft,House For Sale
290,"1709 Cumbre Dr, San Pedro, CA", 2 ba ,3 bds ,"$829,000",," 1,646 sqft",House For Sale
291,"879 Commonwealth Ave, Venice, CA", 1 ba ,2 bds ,"$1,350,000",, 948 sqft,House For Sale
292,"3298 N Knoll Dr, Los Angeles, CA", 5 ba ,4 bds ,"$2,399,000",," 4,622 sqft",House For Sale
293,"7321 Lennox Ave UNIT F1, Van Nuys, CA", 3 ba ,2 bds ,"$267,000",," 1,161 sqft",Condo For Sale
294,"852 S Mullen Ave, Los Angeles, CA", 5 ba ,4 bds ,"$2,695,000",," 3,465 sqft",House For Sale
295,"400 S La Fayette Park Pl APT 301, Los Angeles, CA", 2 ba ,,"$399,000",, 902 sqft,Coming Soon
296,"3307 Estrada St, Los Angeles, CA", 1 ba ,2 bds ,"$315,000",, 720 sqft,House For Sale
297,"TIVOLI Plan, Unknown Community", 2.5 ba ,4 bds ,"$475,900+",," 1,494+ sqft",New Construction
298,"Residence 2 Plan, Tovara", 4 ba ,5 bds ,"$462,900+",," 1,774+ sqft",New Construction
299,"3223 W 6th St UNIT 511, Los Angeles, CA", 2 ba ,2 bds ,"$700,000",," 1,300 sqft",Condo For Sale
300,"267 S San Pedro St UNIT 605, Los Angeles, CA", 2 ba ,2 bds ,"$465,000",, 970 sqft,Condo For Sale
301,"11305 Haskell Ave, Granada Hills, CA", 2 ba ,4 bds ,"$589,000",," 1,322 sqft",House For Sale
302,"1244 W Park Western Dr UNIT 25, San Pedro, CA", 1 ba ,,"$299,900",, 744 sqft,Condo For Sale
303,"9950 Topanga Canyon Blvd UNIT 80, Chatsworth, CA", 3 ba ,3 bds ,"$385,000",," 1,369 sqft",Townhouse For Sale
304,"11401 Dona Teresa Dr, Studio City, CA", 3 ba ,3 bds ,"$2,099,000",," 2,450 sqft",Coming Soon
305,"615 Hampton Dr UNIT B201, Venice, CA", 2 ba ,2 bds ,"$1,595,000",," 1,635 sqft",Condo For Sale
306,"5232 Mary Ellen Ave, Sherman Oaks, CA", 4 ba ,5 bds ,"$1,595,000",," 3,325 sqft",House For Sale
307,"23559 Mariano St, Woodland Hills, CA", 3 ba ,5 bds ,"$995,000",," 3,124 sqft",House For Sale
308,"138 W 115th St, Los Angeles, CA", 3 ba ,4 bds ,"$445,000",," 1,660 sqft",House For Sale
309,"VENICE Plan, Unknown Community", 2.5 ba ,4 bds ,"$475,900+",," 1,489+ sqft",New Construction
310,"11014 Louise Ave, Granada Hills, CA", 2 ba ,3 bds ,"$605,000",," 1,693 sqft",House For Sale
311,"17730 Devonshire St UNIT 9, Northridge, CA", 2 ba ,2 bds ,"$399,950",, -- sqft,Townhouse For Sale
312,"5110 Allentown Pl, Woodland Hills, CA", 6 ba ,5 bds ,"$1,939,000",," 4,955 sqft",House For Sale
313,"11645 Montana Ave, Los Angeles, CA", 1 ba ,2 bds ,"$599,000",, 850 sqft,Condo For Sale
314,"17637 Gilmore St, Van Nuys, CA", 1 ba ,3 bds ,"$470,000",," 1,143 sqft",Coming Soon
315,"5241 College View Ave, Los Angeles, CA", 2 ba ,3 bds ,"$749,000",," 1,384 sqft",House For Sale
316,"2811 Laurel Canyon Pl, Los Angeles, CA", 2 ba ,2 bds ,"$1,190,000",," 2,156 sqft",House For Sale
317,"7574 Owens St, Tujunga, CA", 2 ba ,4 bds ,"$699,000",," 2,048 sqft",House For Sale
318,"1024 S Gretna Green Way, Los Angeles, CA", 7 ba ,5 bds ,"$4,799,999",," 4,925 sqft",House For Sale
319,"1441 Brett Pl UNIT 125, San Pedro, CA", 1 ba ,,"$319,950",, 810 sqft,Condo For Sale
320,"360 S Kenmore Ave APT 109, Los Angeles, CA", 1 ba ,,"$293,000",, 454 sqft,Condo For Sale
321,"13016 Chandler Blvd, Sherman Oaks, CA", 2 ba ,3 bds ,"$1,497,000",," 2,176 sqft",Coming Soon
322,"17415 Elkwood St, Northridge, CA", 2 ba ,3 bds ,"$649,950",," 1,554 sqft",House For Sale
323,"15632 Simonds St, Granada Hills, CA", 2 ba ,4 bds ,"$549,000",," 1,200 sqft",House For Sale
324,"12744 Bessemer St, North Hollywood, CA", 1 ba ,3 bds ,"$625,000",," 1,269 sqft",House For Sale
